SID;NAME;ISO;YEAR;COORDS;COORDS_MAX_WINDS;COORDS_MIN_DIST2LAND;BASIN;SUB BASIN;MONTH_START;MONTH_END;DATE_START;DATE_END;DATE_LAND_START;DATE_LAND_END;TOTAL_HOURS_EVENT;TOTAL_HOURS_IN_LAND;NATURE;GENERAL_CATEGORY;MAX_WIND;MIN_PRES;MIN_DIST2LAND;MAX_STORMSPEED;MAX_USA_SSHS;MAX_USA_SSHS_INLAND;V_LAND_KN;DISTANCE_TRACK;DISTANCE_TRACK_VINCENTY;34KN_POP;64KN_POP;96KN_POP;64KN_ASSETS;34KN_ASSETS;96KN_ASSETS;TOTAL_DAMAGE_(000$);TOTAL_DEATHS;POP_DEN_SQ_KM;RURAL_POP(%);HDI;Arable land (hectares per person);Cereal yield (kg per hectare);Food production index (2004-2006 = 100);GDP per capita (constant 2010 US$);Net flows from UN agencies US$;Life expectancy at birth, total (years);Adjusted savings: education expenditure (% of GNI);Income_level_Final;POP_MAX_34_ADJ;POP_MAX_50_ADJ;POP_MAX_64_ADJ;TOTAL_AFFECTED
1993331N05172;LOLA;VNM;1993;[(11.225, 113.45), (11.1788, 112.701), (11.2, 111.925), (11.2729, 111.189), (11.425, 110.475), (11.6372, 109.795), (11.925, 109.1), (12.2668, 108.336), (12.6286, 107.521)];[(11.425, 110.475)];[(11.925, 109.1), (12.2668, 108.336), (12.6286, 107.521)];WP;WP;12;12;08/12/1993 0:00;09/12/1993 0:00;08/12/1993 18:00;09/12/1993 0:00;24;6;TS;Cat 3;105;960;0;17;3;2;127.9;675.8131388;664.2295096;8553203;3992406;1515767;39381726246;92110915933;13724214043;50000;73;234;78.6;0.506;0.076292898;3361.6;56.28;506.9272974;69709999.79;71.399;2.3;Low_Middle;8187723.831;6704504.819;1222400.456;25235
1993353N05159;NELL;PHL;1993;[(8.7, 129.7), (8.75617, 128.912), (8.85, 128.15), (9.002369999999997, 127.436), (9.2, 126.775), (9.40231, 126.165), (9.65, 125.575), (9.95993, 124.95), (10.3, 124.325), (10.6343, 123.716), (10.95, 123.125), (11.2293, 122.553), (11.475, 122.0), (11.722999999999999, 121.455), (11.9, 120.925), (11.9699, 120.405), (11.95, 119.9), (11.8868, 119.397), (11.775, 118.925), (11.6505, 118.494), (11.5, 118.1), (11.3344, 117.717), (11.15, 117.375), (10.95, 117.078), (10.7667, 116.827), (10.6086, 116.608), (10.4333, 116.433), (10.254000000000001, 116.308), (10.0333, 116.2), (9.78872, 116.119), (9.65, 115.95), (9.53498, 115.726), (9.45, 115.45), (9.38133, 115.106), (9.35, 114.8), (9.36369, 114.649), (9.48571, 114.671), (9.62833, 114.683), (9.78, 114.7), (9.9225, 114.757), (9.8, 114.5), (9.65748, 114.25), (9.5, 114.0), (9.34998, 113.75), (9.2, 113.5), (9.05, 113.243), (8.9, 113.0)];[(9.2, 126.775)];[(9.65, 125.575), (11.2293, 122.553)];WP;WP;12;12;25/12/1993 12:00;31/12/1993 6:00;26/12/1993 6:00;26/12/1993 21:00;138;15;TS;Cat 1;70;975;0;16;-1;-5;99.4;2108.712491;1837.274253;25742053;13550264;65327;1.23769E+11;2.549E+11;374432706;17000;52;224;53.3;0.599;0.080863257;2212.5;73.38;1445.870003;29449999.78;67.628;2.250849;Low_Middle;13758048.18;10665090.95;3768804.83;366224
1994036S09075;HOLLANDA;MUS;1994;[(-11.1545, 69.3818), (-11.4315, 69.0056), (-11.6667, 68.5667), (-11.9368, 68.0101), (-12.1667, 67.4333), (-12.2982, 66.9323), (-12.4, 66.4667), (-12.5474, 66.0117), (-12.7, 65.5667), (-12.8333, 65.1166), (-12.9667, 64.6667), (-13.1167, 64.1967), (-13.2667, 63.7667), (-13.3949, 63.4274), (-13.5333, 63.1333), (-13.7041, 62.8233), (-13.9, 62.5333), (-14.0891, 62.2707), (-14.3333, 62.0333), (-14.6725, 61.8141), (-15.0667, 61.6), (-15.4641, 61.3766), (-15.8667, 61.1333), (-16.2525, 60.8624), (-16.6333, 60.5667), (-17.0141, 60.2673), (-17.4, 59.9333), (-17.7825, 59.5481), (-18.2, 59.1333), (-18.7099, 58.7192), (-19.2, 58.3), (-19.5557, 57.8805), (-19.8667, 57.4667), (-20.2141, 57.0516), (-20.5667, 56.6667)];[(-20.5667, 56.6667)];[(-19.8667, 57.4667)];SI;SI;2;2;06/02/1994 18:00;11/02/1994 0:00;No landing;No landing;102;0;TS;Cat 3;105;940;22;13;3;No landing;118;1782.23119;1712.843198;1294326;1294326;1209811;47972786470;47972786470;44106447606;135400;2;549;56.6;0.644;0.083569515;3728.8;85.24;4406.835081;1970000.025;70.15853659;3.7676055;Low;;;;2300
1994088N09148;OWEN;PHL;1994;[(11.5718, 130.754), (11.55, 130.475), (11.5094, 130.139), (11.45, 129.8), (11.3825, 129.503), (11.3, 129.225), (11.2075, 128.94799999999998), (11.1, 128.675), (10.9787, 128.4), (10.85, 128.125), (10.7212, 127.85), (10.6, 127.575), (10.4887, 127.304), (10.4, 127.025), (10.3406, 126.731), (10.3, 126.425), (10.2491, 126.167), (10.225, 125.8), (10.244000000000002, 125.179), (10.3, 124.475), (10.3892, 123.869), (10.475, 123.3), (10.5037, 122.747), (10.525, 122.225), (10.5724, 121.726), (10.65, 121.25), (10.7524, 120.78), (10.9, 120.325), (11.103, 119.893), (11.325, 119.45), (11.5256, 118.952), (11.7, 118.45), (11.8287, 117.979), (11.95, 117.55), (12.1012, 117.161), (12.275, 116.825), (12.4675, 116.52), (12.675, 116.275), (12.8762, 116.09), (13.1, 115.95), (13.3525, 115.791), (13.65, 115.7), (14.0031, 115.725), (14.375, 115.825), (14.7256, 115.942), (15.05, 116.075), (15.3362, 116.191), (15.6, 116.3), (15.8719, 116.4), (16.125, 116.5), (16.3356, 116.599), (16.55, 116.725), (16.8194, 116.899), (17.1, 117.1), (17.3518, 117.294), (17.5933, 117.5), (17.8364, 117.716), (18.07, 117.94), (18.2534, 118.164), (18.4667, 118.4)];[(10.3, 126.425), (10.2491, 126.167), (10.225, 125.8)];[(10.3892, 123.869), (10.475, 123.3), (11.325, 119.45)];WP;WP;4;4;01/04/1994 21:00;09/04/1994 6:00;04/04/1994 9:00;05/04/1994 12:00;177;27;TS;Cat 1;75;980;0;13;1;1;99;2404.678652;1531.037272;21042840;11899477;211312;1.06846E+11;1.97235E+11;2018130093;;15;229;53.4;0.603;0.078247767;2261;76.45;1474.17915;27289999.49;67.962;2.250849;Low_Middle;12646095.93;7894016.227;4569672.254;105746
1994153N19113;RUSS;CHN;1994;[(19.0, 112.5), (19.05, 112.64), (19.1, 112.8), (19.15, 112.993), (19.2, 113.2), (19.25, 113.4), (19.3, 113.6), (19.35, 113.793), (19.6571, 114.086), (19.9, 115.75), (19.9194, 116.029), (19.95, 116.3), (20.0019, 116.553), (20.05, 116.75), (20.0662, 116.86), (20.075, 116.925), (20.1056, 117.013), (20.125, 117.075), (20.1169, 117.101), (20.075, 117.075), (19.995, 117.003), (19.9, 116.875), (19.8194, 116.712), (19.75, 116.5), (19.6962, 116.256), (19.65, 115.975), (19.3687, 114.291), (19.375, 113.9), (19.41, 113.524), (19.475, 113.175), (19.5568, 112.858), (19.65, 112.575), (19.7337, 112.323), (19.825, 112.075), (19.9243, 111.806), (20.05, 111.5), (20.1952, 111.108), (20.4, 110.75), (20.6842, 110.543), (21.025, 110.4), (21.3781, 110.23), (21.75, 110.075), (22.1306, 109.922), (22.5, 109.825), (22.8287, 109.822), (23.1467, 109.873), (23.5182, 109.933), (23.8545, 110.018), (23.8937, 109.964), (24.3429, 110.657), (25.8599, 112.544), (27.0, 114.0), (27.3514, 114.52), (27.5, 115.0), (27.7623, 115.893), (28.0, 116.9), (28.1679, 117.687), (28.35, 118.65), (28.5541, 120.182), (28.9, 121.75), (29.5763, 122.868), (30.25, 123.75), (30.5811, 124.521), (30.75, 125.25)];[(20.075, 117.075), (19.995, 117.003), (19.9, 116.875), (19.8194, 116.712), (19.75, 116.5), (19.6962, 116.256), (19.65, 115.975), (19.3687, 114.291), (19.375, 113.9)];[(21.3781, 110.23), (21.75, 110.075), (22.1306, 109.922), (22.5, 109.825), (22.8287, 109.822), (23.1467, 109.873), (23.5182, 109.933), (23.8545, 110.018), (23.8937, 109.964), (24.3429, 110.657), (25.8599, 112.544), (27.0, 114.0), (27.3514, 114.52), (27.5, 115.0), (27.7623, 115.893), (28.0, 116.9), (28.1679, 117.687), (28.35, 118.65), (28.5541, 120.182)];WP;WP;6;6;02/06/1994 6:00;11/06/1994 6:00;08/06/1994 9:00;10/06/1994 15:00;216;54;TS;TS;58;980;0;40;0;-1;67.2;3354.10291;1828.48031;28777511;306127;0;6511478645;6.61225E+11;0;700;74;131;70;0.537;0.101272408;4504.9;59.93;1116.032535;95750000.48;69.67;1.8;Low_Middle;137043506.8;47435203.85;22612759.47;440684
1994169N06152;SHARON;PHL;1994;[(11.8, 130.2), (11.9447, 129.332), (12.15, 128.45), (12.4585, 127.532), (12.9222, 126.533), (13.3681, 125.496), (13.7364, 124.464), (13.9712, 123.499), (14.2, 122.633), (14.4699, 121.722), (14.8, 120.867), (15.2178, 120.151), (15.6846, 119.477), (16.0974, 118.715), (16.4933, 117.92), (16.8834, 117.12), (17.275, 116.3), (17.6783, 115.429)];[(17.275, 116.3), (17.6783, 115.429)];[(14.2, 122.633), (14.8, 120.867), (15.2178, 120.151)];WP;WP;6;6;21/06/1994 18:00;23/06/1994 21:00;22/06/1994 18:00;23/06/1994 3:00;51;9;TS;TS;45;995;0;22;0;-1;53.3;1731.630952;1717.34272;8111613;0;0;0;91033856545;0;;2;229;53.4;0.603;0.078247767;2261;76.45;1474.17915;27289999.49;67.962;2.250849;Low_Middle;40617767.6;27657366.65;18175377.1;23952
1994181N22276;ALBERTO;USA;1994;[(25.9928, -87.2082), (26.5, -86.9), (27.0924, -86.8046), (27.7, -86.8), (28.2575, -86.7998), (28.8, -86.8), (29.3602, -86.7873), (29.9, -86.7), (30.4, -86.5), (30.7, -86.3), (30.9602, -86.1794), (31.2, -86.1), (31.4424, -86.0148), (31.7, -85.9), (32.0076, -85.7077), (32.3, -85.5), (32.5225, -85.3349), (32.7, -85.2), (32.865, -85.0849), (33.0, -85.0), (33.115, -84.9425), (33.2, -84.9), (33.25, -84.8575), (33.3, -84.8), (33.415, -84.7076), (33.5, -84.6), (33.4725, -84.4774), (33.4, -84.4), (33.3575, -84.4125), (33.3, -84.5), (33.2149, -84.6124), (33.1, -84.8), (32.9424, -85.0552), (32.8, -85.4), (32.7279, -85.8724), (32.7, -86.3), (32.6847, -86.5024), (32.7, -86.6), (32.735, -86.7075), (32.8, -86.8), (32.8925, -86.8974), (33.0, -87.0)];[(29.9, -86.7), (30.4, -86.5)];[(30.7, -86.3), (30.9602, -86.1794), (31.2, -86.1), (31.4424, -86.0148), (31.7, -85.9), (32.0076, -85.7077), (32.3, -85.5), (32.5225, -85.3349), (32.7, -85.2), (32.865, -85.0849), (33.0, -85.0), (33.115, -84.9425), (33.2, -84.9), (33.25, -84.8575), (33.3, -84.8), (33.415, -84.7076), (33.5, -84.6), (33.4725, -84.4774), (33.4, -84.4), (33.3575, -84.4125), (33.3, -84.5), (33.2149, -84.6124), (33.1, -84.8), (32.9424, -85.0552), (32.8, -85.4), (32.7279, -85.8724), (32.7, -86.3), (32.6847, -86.5024), (32.7, -86.6), (32.735, -86.7075), (32.8, -86.8), (32.8925, -86.8974), (33.0, -87.0)];NAm;GM;7;7;02/07/1994 15:00;07/07/1994 18:00;03/07/1994 18:00;07/07/1994 18:00;123;96;TS;TS;55;993;0;12;0;0;50.5;1195.292504;776.9728463;690855;0;0;0;1.35869E+11;0;250000;32;28.7;23.1;0.875;0.691452004;5560;89.19;37813.75818;0;75.6195122;5.3558719;High;10930791.6;4143087.508;1566158.432;20022
1994186N09139;TIM;PHL;1994;[(13.29, 131.244), (13.5692, 130.99200000000002), (13.8625, 130.739), (14.175, 130.5), (14.4725, 130.289), (14.8, 130.1), (15.2199, 129.934), (15.625, 129.75), (15.9136, 129.50799999999998), (16.15, 129.225), (16.3818, 128.922), (16.625, 128.6), (16.928, 128.279), (17.275, 127.9), (17.6288, 127.459), (17.975, 126.95), (18.2374, 126.517), (18.5, 126.075), (18.7886, 125.705), (19.15, 125.325), (19.5494, 124.841), (19.95, 124.325), (20.3705, 123.9), (20.85, 123.475), (21.3718, 123.0), (21.9, 122.5)];[(21.9, 122.5)];[(21.9, 122.5)];WP;WP;7;7;07/07/1994 3:00;10/07/1994 6:00;No landing;No landing;75;0;TS;Cat 4;125;930;165;15;4;No landing;116.1;1345.339679;1329.374914;;;;;;;1000;17;229;53.4;0.603;0.078247767;2261;76.45;1474.17915;27289999.49;67.962;2.250849;Low_Middle;;;;166585
1994186N09139;TIM;TWN;1994;[(22.5958, 122.075), (23.325, 121.45), (23.8857, 120.466)];[(22.5958, 122.075), (23.325, 121.45)];[(23.8857, 120.466)];WP;WP;7;7;10/07/1994 9:00;10/07/1994 15:00;10/07/1994 15:00;10/07/1994 15:00;6;0;TS;Cat 4;125;930;0;20;4;3;142.3;221.1734139;217.9895344;23150365;8429986;5409279;2.02194E+12;4.79927E+12;1.19122E+12;100000;10;603;31.9;0.627;0.101272408;4504.9;59.93;1116.032535;95750000.48;69.67;1.8;Low_Middle;11563862.86;19270786.46;1893669.538;40
1994186N09139;TIM;CHN;1994;[(24.475, 119.725), (24.8915, 118.91), (25.225, 118.05), (25.607, 117.191), (26.0, 116.42), (26.4374, 115.83), (26.8538, 115.392), (27.1481, 115.045), (27.39, 114.8), (27.6652, 114.635), (28.0333, 114.633), (28.5551, 114.999), (29.5, 115.1), (30.9776, 115.313), (32.8, 115.7), (34.7905, 116.315), (36.6, 117.0), (37.8277, 117.454), (38.7, 118.0), (39.421, 118.855), (40.1, 120.0), (40.9476, 121.413), (41.9, 123.0)];[(24.475, 119.725)];[(24.8915, 118.91), (25.225, 118.05), (25.607, 117.191), (26.0, 116.42), (26.4374, 115.83), (26.8538, 115.392), (27.1481, 115.045), (27.39, 114.8), (27.6652, 114.635), (28.0333, 114.633), (28.5551, 114.999), (29.5, 115.1), (30.9776, 115.313), (32.8, 115.7), (34.7905, 116.315), (36.6, 117.0), (37.8277, 117.454), (39.421, 118.855), (40.1, 120.0), (41.9, 123.0)];WP;WP;7;7;10/07/1994 18:00;13/07/1994 12:00;10/07/1994 21:00;13/07/1994 12:00;66;63;TS;Cat 3;100;955;0;40;3;1;115.2;2459.136804;1956.188271;41698095;13797095;1754919;3.00092E+11;9.06645E+11;35168639253;96300;47;131;70;0.537;0.101272408;4504.9;59.93;1116.032535;95750000.48;69.67;1.8;Low_Middle;235144920.1;134744421.4;40333706.19;4230000
1994189N16117;VANESSA;PHL;1994;[(15.7, 117.0), (15.795, 116.8), (15.9, 116.6), (16.015, 116.4), (16.1, 116.2), (16.115, 115.985), (16.1, 115.8), (16.1075, 115.685), (16.0429, 115.586), (15.9865, 115.411), (15.8846, 115.262), (15.7056, 115.189), (15.525, 115.225), (15.4043, 115.326), (15.325, 115.55), (15.2441, 115.87), (15.25, 116.35), (15.3629, 117.028), (15.625, 117.75), (15.9992, 118.345), (16.55, 118.85), (17.2482, 119.313), (17.95, 119.625), (18.7317, 119.787), (19.5, 119.757)];[(15.625, 117.75), (17.95, 119.625)];[(17.95, 119.625)];WP;WP;7;7;08/07/1994 0:00;11/07/1994 0:00;No landing;No landing;72;0;TS;TS;45;985;86;16;-1;No landing;70.6;1038.815103;512.3178355;8119710;0;0;0;46840939290;0;;3;229;53.4;0.603;0.078247767;2261;76.45;1474.17915;27289999.49;67.962;2.250849;Low_Middle;1646105.173;0;0;5300
1994197N14115;YUNYA;PHL;1994;[(13.9401, 114.86), (14.1, 115.2), (14.2924, 115.508), (14.5, 115.8), (14.7, 116.108), (15.0833, 116.15), (15.2968, 116.23), (15.4727, 116.355), (15.5565, 116.571), (15.6267, 116.853), (15.6975, 117.166), (15.775, 117.55), (15.8937, 117.908), (16.05, 118.225), (16.227999999999998, 118.476), (16.425, 118.7), (16.6099, 118.935), (16.825, 119.2), (17.0881, 119.524), (17.4, 119.875), (17.7475, 120.216), (18.125, 120.55), (18.5255, 120.855), (18.9, 121.175), (19.2011, 121.536), (19.45, 121.95), (19.6923, 122.404), (19.875, 122.925), (19.9724, 123.51), (20.025, 124.15), (20.0967, 124.814), (20.1286, 125.493), (20.1259, 126.186), (20.1, 126.89)];[(17.4, 119.875), (17.7475, 120.216), (18.125, 120.55)];[(18.125, 120.55), (18.5255, 120.855)];WP;WP;7;7;16/07/1994 9:00;20/07/1994 12:00;19/07/1994 0:00;19/07/1994 3:00;99;3;TS;TS;45;990;0;13;0;0;62.1;1540.169553;1450.129636;12828554;0;0;0;95473517802;0;37600;11;229;53.4;0.603;0.078247767;2261;76.45;1474.17915;27289999.49;67.962;2.250849;Low_Middle;4687994.286;659316.2098;336292.0443;420728
1994206N14131;BRENDAN;KOR;1994;[(30.6942, 125.57), (31.725, 125.475), (32.6636, 125.451), (33.55, 125.55), (34.4257, 125.707), (35.25, 126.05), (36.0108, 126.581), (36.725, 127.375), (37.4491, 128.44799999999998), (38.1, 129.65), (38.6335, 130.718)];[(31.725, 125.475), (32.6636, 125.451), (33.55, 125.55)];[(36.725, 127.375), (37.4491, 128.44799999999998)];WP;WP;7;8;31/07/1994 9:00;01/08/1994 15:00;01/08/1994 6:00;01/08/1994 9:00;30;3;TS;TS;50;990;0;23;0;0;71.8;1079.572726;998.7263634;15990136;1081752;0;1.71644E+11;2.69284E+12;0;11;28;461;22.5;0.767;0.041329219;5872.1;87.14;11113.5131;2309999.991;73.39756098;3.3;High_Middle;34763123.09;7154736.225;3247393.952;88
1994206N22107;AMY;THA;1994;[(19.0, 101.0), (18.9995, 100.463), (19.0, 100.0), (19.0001, 99.47), (19.0, 99.0), (18.9999, 98.66), (19.0, 98.4)];[(19.0, 101.0), (18.9995, 100.463), (19.0, 100.0), (19.0001, 99.47), (19.0, 99.0), (18.9999, 98.66), (19.0, 98.4)];[(19.0, 101.0), (18.9995, 100.463), (19.0, 100.0), (19.0001, 99.47), (19.0, 99.0), (18.9999, 98.66), (19.0, 98.4)];WP;WP;7;8;31/07/1994 12:00;01/08/1994 6:00;31/07/1994 12:00;01/08/1994 6:00;18;18;TS;TD;0;998;0;12;-1;-1;45.89;273.7593528;273.7567331;;;;;;;8000;9;115;69.9;0.604;0.286368118;2409.4;78.9;3299.346408;21810000;70.202;2.9;Low_Middle;6192929.704;2160099.311;1063944.742;10000
1994210N16144;CAITLIN;PHL;1994;[(19.0727, 128.864), (19.18, 128.358), (19.3154, 127.838), (19.4539, 127.343), (19.5933, 126.867), (19.723, 126.417), (19.875, 125.975), (20.0261, 125.535), (20.2, 125.1), (20.3967, 124.673), (20.65, 124.225), (20.9434, 123.745), (21.35, 123.2), (21.8973, 122.584)];[(21.8973, 122.584)];[(21.8973, 122.584)];WP;WP;8;8;01/08/1994 12:00;03/08/1994 3:00;No landing;No landing;39;0;TS;TS;55;990;175;17;0;No landing;45.9;738.7650525;725.8319074;;;;;;;;11;229;53.4;0.603;0.078247767;2261;76.45;1474.17915;27289999.49;67.962;2.250849;Low_Middle;;;;14000
1994211N12152;DOUG;TWN;1994;[(24.7, 122.175), (25.1418, 121.984), (25.6, 121.825), (26.0287, 121.691), (26.5, 121.65)];[(24.7, 122.175)];[(25.1418, 121.984)];WP;WP;8;8;07/08/1994 18:00;08/08/1994 6:00;No landing;No landing;12;0;TS;Cat 4;125;940;11;11;-5;No landing;115.3;207.5606978;206.2627498;15201614;8227180;479959;1.53497E+12;3.13593E+12;1.29159E+11;232000;16;603;31.9;0.627;0.101272408;4504.9;59.93;1116.032535;95750000.48;69.67;1.8;Low_Middle;10188797.71;15263563.16;132139.3551;498
1994224N20152;FRED;CHN;1994;[(26.975, 122.075), (27.2621, 121.658), (27.55, 121.175), (27.8251, 120.567), (28.1, 119.9), (28.3928, 119.257), (28.675, 118.6), (28.9049, 117.908), (29.1533, 117.233), (29.4992, 116.601), (29.875, 116.025), (30.206, 115.556), (30.5, 115.211), (30.8348, 115.076), (31.2, 115.0), (31.5775, 114.909), (32.0, 114.9), (32.4925, 115.005), (33.0, 115.2), (33.4418, 115.362), (33.9, 115.7), (34.4427, 116.356), (35.0, 117.2), (35.5218, 118.035), (36.0, 118.95), (36.4236, 120.016), (36.8, 121.0), (37.1555, 121.636), (37.5, 122.2), (37.8596, 122.943)];[(26.975, 122.075)];[(27.8251, 120.567), (28.1, 119.9), (28.3928, 119.257), (28.675, 118.6), (28.9049, 117.908), (29.1533, 117.233), (29.4992, 116.601), (29.875, 116.025), (30.206, 115.556), (30.5, 115.211), (30.8348, 115.076), (31.2, 115.0), (31.5775, 114.909), (32.0, 114.9), (32.4925, 115.005), (33.0, 115.2), (33.4418, 115.362), (33.9, 115.7), (34.4427, 116.356), (35.0, 117.2), (35.5218, 118.035), (36.0, 118.95), (36.4236, 120.016), (36.8, 121.0), (37.1555, 121.636)];WP;WP;8;8;21/08/1994 6:00;24/08/1994 21:00;21/08/1994 15:00;24/08/1994 15:00;87;72;TS;Cat 3;100;950;0;18;3;2;105.7;1968.63863;1209.793892;41204790;14535567;4102704;3.12831E+11;9.27611E+11;69663018303;1150000;1174;131;70;0.537;0.101272408;4504.9;59.93;1116.032535;95750000.48;69.67;1.8;Low_Middle;193397528.6;201273682;36070690.95;11001800
1994231N12157;GLADYS;TWN;1994;[(24.4749, 121.743), (24.875, 121.025)];[(24.4749, 121.743)];[(24.4749, 121.743), (24.875, 121.025)];WP;WP;9;9;01/09/1994 3:00;01/09/1994 6:00;01/09/1994 3:00;01/09/1994 6:00;3;3;TS;Cat 2;95;957;0;15;2;2;119.9;85.11897574;85.11897574;16071685;10986553;8360175;2.24379E+12;3.33223E+12;1.52916E+12;24000;6;603;31.9;0.627;0.101272408;4504.9;59.93;1116.032535;95750000.48;69.67;1.8;Low_Middle;14787318.32;10451681.26;2503652.432;50
1994250N14133;LUKE;PHL;1994;[(13.8, 131.5), (13.8401, 130.955), (14.0, 130.5), (14.4423, 130.248), (14.9, 130.1), (15.08, 129.92700000000002), (14.85, 129.61700000000002), (14.8256, 129.375), (14.83, 129.1), (14.8192, 128.765), (14.9, 128.467), (14.9974, 128.17700000000002), (15.1, 127.867), (15.1999, 127.529), (15.3, 127.167), (15.3726, 126.83), (15.4857, 126.514), (15.5794, 126.26), (15.825, 126.1), (16.3307, 126.117), (16.9, 126.075), (17.3344, 125.704), (17.675, 125.175), (17.9354, 124.664), (18.125, 124.1), (18.2899, 123.488), (18.425, 122.85), (18.5575, 122.197), (18.675, 121.6), (18.7728, 121.138), (18.875, 120.725), (18.9899, 120.274), (19.15, 119.8), (19.3755, 119.295), (19.65, 118.775), (19.9835, 118.281)];[(18.425, 122.85)];[(18.5575, 122.197)];WP;WP;9;9;06/09/1994 18:00;11/09/1994 3:00;No landing;No landing;105;0;TS;TS;48;990;22;13;-1;No landing;40.6;1722.491713;1564.865741;2115;0;0;0;21042728;0;3900;7;229;53.4;0.603;0.078247767;2261;76.45;1474.17915;27289999.49;67.962;2.250849;Low_Middle;1884155.178;435173.0462;11685.02478;54674
1994250N14133;LUKE;VNM;1994;[(18.8867, 107.292), (18.9267, 106.853), (19.0203, 106.461), (19.0917, 106.025), (19.0798, 105.358), (19.0778, 104.644), (19.192, 104.173), (19.2857, 103.9)];[(18.8867, 107.292), (18.9267, 106.853)];[(19.0798, 105.358), (19.0778, 104.644), (19.192, 104.173), (19.2857, 103.9)];WP;WP;9;9;13/09/1994 9:00;14/09/1994 6:00;13/09/1994 21:00;14/09/1994 6:00;21;9;TS;TS;40;994;0;13;0;-1;39;362.5979018;359.6816126;1870062;0;0;0;9515136005;0;45000;30;238;78.2;0.517;0.074187504;3458.7;58.72;541.6145952;63669999.83;71.666;2.3;Low_Middle;8880079.082;3532381.44;1390842.532;11000
1994259N12128;ORCHID;JPN;1994;[(20.4913, 136.634), (20.75, 136.525), (20.9475, 136.457), (21.175, 136.375), (21.5206, 136.247), (21.9, 136.075), (22.2193, 135.876), (22.55, 135.625), (22.9518, 135.328), (23.35, 134.975), (23.6827, 134.56799999999998), (23.975, 134.15), (24.2393, 133.785), (24.475, 133.55), (24.7713, 133.27100000000002), (25.1, 132.975), (25.3643, 132.815), (25.625, 132.7), (25.9087, 132.60299999999998), (26.2, 132.55), (26.5125, 132.466), (26.825, 132.4), (27.1125, 132.381), (27.375, 132.425), (27.7069, 132.503), (28.025, 132.625), (28.3563, 132.81), (28.675, 133.0), (29.1306, 133.241), (29.625, 133.475), (30.2112, 133.72299999999998), (30.925, 134.025), (31.5749, 134.35), (32.35, 134.75), (33.2026, 135.219), (33.5205, 135.403), (34.2333, 135.773), (35.4417, 136.285), (36.8154, 136.808), (38.0767, 137.69299999999998), (39.3667, 138.36700000000002), (40.5887, 138.898), (41.6, 139.36700000000002), (42.7176, 139.97799999999998), (43.7333, 140.533), (44.4262, 140.726), (45.0333, 141.0), (45.8154, 141.84), (49.0, 147.0), (49.525, 147.499), (50.0, 148.0), (50.3252, 148.53799999999995), (50.5, 149.0), (50.5373, 149.3), (50.5, 149.5)];[(20.4913, 136.634), (20.75, 136.525), (20.9475, 136.457), (21.175, 136.375)];[(34.2333, 135.773), (35.4417, 136.285), (36.8154, 136.808), (42.7176, 139.97799999999998)];WP;WP;9;10;25/09/1994 3:00;02/10/1994 12:00;29/09/1994 12:00;30/09/1994 9:00;177;21;TS;Cat 4;135;925;0;29;4;1;113.8;3912.724728;3516.781761;51892709;26456036;3069692;3.1439E+12;6.38303E+12;4.31663E+11;;3;346;22.1;0.835;0.037291635;6448.7;112.9;39441.58676;0;79.68707317;3.6;High;39772502.32;40302539.58;5101328.921;7
1994287N14156;TERESA;PHL;1994;[(15.4328, 132.33700000000002), (15.4, 131.675), (15.4117, 130.958), (15.45, 130.225), (15.4874, 129.496), (15.525, 128.8), (15.5517, 128.159), (15.575, 127.575), (15.6091, 127.041), (15.625, 126.525), (15.5968, 125.971), (15.55, 125.425), (15.5181, 124.901), (15.475, 124.425), (15.4092, 124.028), (15.325, 123.65), (15.2381, 123.209), (15.125, 122.775), (14.9811, 122.418), (14.8, 122.05), (14.5787, 121.603), (14.35, 121.1), (14.1625, 120.561), (13.975, 120.0), (13.7537, 119.439), (13.525, 118.9), (13.3123, 118.416), (13.1, 117.95), (12.8768, 117.463), (12.65, 116.975), (12.4306, 116.487), (12.2, 116.025), (11.9356, 115.603), (11.675, 115.225), (11.4493, 114.881), (11.25, 114.575), (11.0525, 114.293), (10.9, 114.025), (10.8169, 113.746), (10.775, 113.475)];[(15.625, 126.525), (15.5968, 125.971), (15.55, 125.425), (15.5181, 124.901), (15.475, 124.425), (15.4092, 124.028), (15.325, 123.65), (15.2381, 123.209), (15.125, 122.775)];[(14.5787, 121.603), (14.35, 121.1), (14.1625, 120.561)];WP;WP;10;10;18/10/1994 15:00;23/10/1994 12:00;21/10/1994 3:00;21/10/1994 9:00;117;6;TS;Cat 1;80;955;0;14;0;-1;99.6;2154.334998;2108.198318;43841590;30561346;15496;2.40562E+11;4.01535E+11;465583375;67400;32;229;53.4;0.603;0.078247767;2261;76.45;1474.17915;27289999.49;67.962;2.250849;Low_Middle;32725425.48;27443565.58;10899185.85;258751
